# Phase, Radial Velocity (km/s)
0.473,74.840
0.473,73.960
0.474,73.079
0.475,72.198
0.476,71.316
0.476,70.434
0.477,69.552
0.478,68.670
0.479,67.787
0.479,66.905
0.480,66.022
0.481,65.139
0.482,64.256
0.482,63.372
0.483,62.489
0.484,61.605
0.485,60.722
0.485,59.838
0.486,58.954
0.487,58.071
0.488,57.187
0.488,56.303
0.489,55.420
0.490,54.536
0.491,53.653
0.491,52.769
0.492,51.886
0.493,51.003
0.494,50.120
0.494,49.237
0.495,48.355
0.496,47.473
0.497,46.590
0.497,45.709
0.498,44.827
0.499,43.946
0.500,43.065
0.501,42.184
0.501,41.304
0.502,40.424
0.503,39.545
0.504,38.666
0.504,37.787
0.505,36.909
0.506,36.032
0.507,35.154
0.507,34.278
0.508,33.402
0.509,32.526
0.510,31.651
0.510,30.777
0.511,29.903
0.512,29.030
0.513,28.157
0.513,27.286
0.514,26.414
0.515,25.544
0.516,24.674
0.516,23.805
0.517,22.937
0.518,22.070
0.519,21.203
0.519,20.337
0.520,19.472
0.521,18.608
0.522,17.745
0.522,16.882
0.523,16.021
0.524,15.161
0.525,14.301
0.525,13.442
0.526,12.585
0.527,11.728
0.528,10.873
0.528,10.018
0.529,9.165
0.530,8.313
0.531,7.461
0.531,6.611
0.532,5.762
0.533,4.915
0.534,4.068
0.534,3.223
0.535,2.378
0.536,1.535
0.537,0.694
0.537,-0.147
0.538,-0.986
0.539,-1.824
0.540,-2.660
0.540,-3.495
0.541,-4.329
0.542,-5.162
0.543,-5.993
0.543,-6.822
0.544,-7.650
0.545,-8.477
0.546,-9.302
0.546,-10.126
0.547,-10.948
0.548,-11.769
0.549,-12.588
0.549,-13.406
0.550,-14.222
0.551,-15.036
0.552,-15.849
0.552,-16.660
0.553,-17.470
0.554,-18.277
0.555,-19.084
0.555,-19.888
0.556,-20.691
0.557,-21.492
0.558,-22.291
0.558,-23.088
0.559,-23.884
0.560,-24.678
0.561,-25.470
0.561,-26.260
0.562,-27.048
0.563,-27.834
0.564,-28.619
0.564,-29.401
0.565,-30.182
0.566,-30.961
0.567,-31.737
0.567,-32.512
0.568,-33.285
0.569,-34.055
0.570,-34.824
0.570,-35.591
0.571,-36.355
0.572,-37.118
0.573,-37.878
0.573,-38.636
0.574,-39.392
0.575,-40.146
0.576,-40.898
0.576,-41.648
0.577,-42.395
0.578,-43.140
0.579,-43.883
0.579,-44.624
0.580,-45.362
0.581,-46.098
0.582,-46.832
0.582,-47.563
0.583,-48.292
0.584,-49.019
0.585,-49.743
0.585,-50.465
0.586,-51.185
0.587,-51.902
0.588,-52.617
0.588,-53.329
0.589,-54.039
0.590,-54.747
0.591,-55.452
0.591,-56.154
0.592,-56.854
0.593,-57.551
0.594,-58.246
0.594,-58.938
0.595,-59.628
0.596,-60.315
0.597,-60.999
0.597,-61.681
0.598,-62.360
0.599,-63.036
0.600,-63.710
0.600,-64.381
0.601,-65.050
0.602,-65.715
0.603,-66.378
0.603,-67.038
0.604,-67.696
0.605,-68.350
0.606,-69.002
0.606,-69.651
0.607,-70.297
0.608,-70.941
0.609,-71.581
0.609,-72.219
0.610,-72.854
0.611,-73.486
0.612,-74.115
0.612,-74.741
0.613,-75.364
0.614,-75.984
0.615,-76.601
0.615,-77.216
0.616,-77.827
0.617,-78.435
0.618,-79.040
0.618,-79.642
0.619,-80.242
0.620,-80.838
0.621,-81.431
0.621,-82.021
0.622,-82.608
0.623,-83.191
0.624,-83.772
0.624,-84.350
0.625,-84.924
0.626,-85.495
0.627,-86.063
0.627,-86.628
0.628,-87.190
0.629,-87.748
0.630,-88.303
0.630,-88.855
0.631,-89.404
0.632,-89.950
0.633,-90.492
0.633,-91.031
0.634,-91.566
0.635,-92.099
0.636,-92.628
0.636,-93.153
0.637,-93.676
0.638,-94.195
0.639,-94.711
0.639,-95.223
0.640,-95.732
0.641,-96.237
0.642,-96.739
0.642,-97.238
0.643,-97.733
0.644,-98.225
0.645,-98.713
0.645,-99.198
0.646,-99.680
0.647,-100.158
0.648,-100.632
0.648,-101.103
0.649,-101.570
0.650,-102.034
0.651,-102.495
0.651,-102.951
0.652,-103.405
0.653,-103.854
0.654,-104.300
0.654,-104.743
0.655,-105.182
0.656,-105.617
0.657,-106.049
0.657,-106.477
0.658,-106.902
0.659,-107.322
0.660,-107.740
0.660,-108.153
0.661,-108.563
0.662,-108.969
0.663,-109.372
0.663,-109.770
0.664,-110.165
0.665,-110.557
0.666,-110.944
0.666,-111.328
0.667,-111.708
0.668,-112.085
0.669,-112.458
0.669,-112.826
0.670,-113.192
0.671,-113.553
0.672,-113.910
0.672,-114.264
0.673,-114.614
0.674,-114.960
0.675,-115.303
0.675,-115.641
0.676,-115.976
0.677,-116.307
0.678,-116.634
0.678,-116.957
0.679,-117.276
0.680,-117.591
0.681,-117.903
0.681,-118.210
0.682,-118.514
0.683,-118.814
0.684,-119.110
0.684,-119.402
0.685,-119.690
0.686,-119.974
0.687,-120.254
0.687,-120.531
0.688,-120.803
0.689,-121.071
0.690,-121.336
0.690,-121.596
0.691,-121.853
0.692,-122.105
0.693,-122.354
0.693,-122.599
0.694,-122.839
0.695,-123.076
0.696,-123.308
0.696,-123.537
0.697,-123.762
0.698,-123.982
0.699,-124.199
0.699,-124.411
0.700,-124.620
0.701,-124.824
0.702,-125.025
0.702,-125.221
0.703,-125.414
0.704,-125.602
0.705,-125.786
0.705,-125.966
0.706,-126.143
0.707,-126.315
0.708,-126.483
0.708,-126.647
0.709,-126.806
0.710,-126.962
0.711,-127.114
0.711,-127.261
0.712,-127.405
0.713,-127.544
0.714,-127.680
0.714,-127.811
0.715,-127.938
0.716,-128.061
0.717,-128.180
0.717,-128.295
0.718,-128.405
0.719,-128.512
0.720,-128.614
0.720,-128.713
0.721,-128.807
0.722,-128.897
0.723,-128.983
0.723,-129.065
0.724,-129.143
0.725,-129.216
0.726,-129.286
0.726,-129.351
0.727,-129.412
0.728,-129.469
0.729,-129.522
0.729,-129.571
0.730,-129.615
0.731,-129.656
0.732,-129.692
0.732,-129.724
0.733,-129.752
0.734,-129.776
0.735,-129.796
0.735,-129.811
0.736,-129.823
0.737,-129.830
0.738,-129.833
0.738,-129.832
0.739,-129.827
0.740,-129.818
0.741,-129.804
0.741,-129.787
0.742,-129.765
0.743,-129.739
0.744,-129.709
0.744,-129.675
0.745,-129.637
0.746,-129.594
0.747,-129.547
0.747,-129.497
0.748,-129.442
0.749,-129.383
0.750,-129.320
0.750,-129.252
0.751,-129.181
0.752,-129.105
0.753,-129.026
0.753,-128.942
0.754,-128.854
0.755,-128.762
0.756,-128.666
0.756,-128.565
0.757,-128.461
0.758,-128.352
0.759,-128.240
0.759,-128.123
0.760,-128.002
0.761,-127.877
0.762,-127.748
0.762,-127.615
0.763,-127.477
0.764,-127.336
0.765,-127.190
0.765,-127.041
0.766,-126.887
0.767,-126.729
0.768,-126.568
0.768,-126.402
0.769,-126.232
0.770,-126.058
0.771,-125.879
0.771,-125.697
0.772,-125.511
0.773,-125.321
0.774,-125.126
0.774,-124.928
0.775,-124.726
0.776,-124.519
0.777,-124.309
0.777,-124.094
0.778,-123.876
0.779,-123.653
0.780,-123.427
0.780,-123.196
0.781,-122.962
0.782,-122.723
0.783,-122.480
0.783,-122.234
0.784,-121.983
0.785,-121.729
0.786,-121.470
0.786,-121.208
0.787,-120.942
0.788,-120.671
0.789,-120.397
0.789,-120.119
0.790,-119.837
0.791,-119.551
0.792,-119.261
0.792,-118.967
0.793,-118.669
0.794,-118.367
0.795,-118.062
0.795,-117.752
0.796,-117.439
0.797,-117.121
0.798,-116.800
0.798,-116.475
0.799,-116.147
0.800,-115.814
0.801,-115.477
0.801,-115.137
0.802,-114.793
0.803,-114.445
0.804,-114.093
0.804,-113.737
0.805,-113.378
0.806,-113.015
0.807,-112.648
0.807,-112.277
0.808,-111.903
0.809,-111.524
0.810,-111.143
0.810,-110.757
0.811,-110.367
0.812,-109.974
0.813,-109.577
0.813,-109.177
0.814,-108.772
0.815,-108.365
0.816,-107.953
0.816,-107.538
0.817,-107.119
0.818,-106.696
0.819,-106.270
0.819,-105.840
0.820,-105.407
0.821,-104.969
0.822,-104.529
0.822,-104.085
0.823,-103.637
0.824,-103.185
0.825,-102.730
0.825,-102.272
0.826,-101.810
0.827,-101.344
0.828,-100.875
0.828,-100.402
0.829,-99.926
0.830,-99.447
0.831,-98.963
0.831,-98.477
0.832,-97.987
0.833,-97.493
0.834,-96.996
0.834,-96.496
0.835,-95.992
0.836,-95.485
0.837,-94.975
0.837,-94.461
0.838,-93.944
0.839,-93.423
0.840,-92.899
0.840,-92.372
0.841,-91.841
0.842,-91.307
0.843,-90.770
0.843,-90.229
0.844,-89.685
0.845,-89.138
0.846,-88.588
0.846,-88.034
0.847,-87.478
0.848,-86.918
0.849,-86.354
0.849,-85.788
0.850,-85.218
0.851,-84.646
0.852,-84.070
0.852,-83.491
0.853,-82.909
0.854,-82.323
0.855,-81.735
0.855,-81.144
0.856,-80.549
0.857,-79.951
0.858,-79.351
0.858,-78.747
0.859,-78.140
0.860,-77.531
0.861,-76.918
0.861,-76.302
0.862,-75.684
0.863,-75.062
0.864,-74.437
0.864,-73.810
0.865,-73.180
0.866,-72.546
0.867,-71.910
0.867,-71.271
0.868,-70.629
0.869,-69.984
0.870,-69.337
0.870,-68.686
0.871,-68.033
0.872,-67.377
0.873,-66.718
0.873,-66.057
0.874,-65.393
0.875,-64.726
0.876,-64.056
0.876,-63.384
0.877,-62.709
0.878,-62.031
0.879,-61.350
0.879,-60.667
0.880,-59.982
0.881,-59.293
0.882,-58.603
0.882,-57.909
0.883,-57.213
0.884,-56.515
0.885,-55.814
0.885,-55.110
0.886,-54.404
0.887,-53.695
0.888,-52.984
0.888,-52.271
0.889,-51.555
0.890,-50.836
0.891,-50.116
0.891,-49.392
0.892,-48.667
0.893,-47.939
0.894,-47.209
0.894,-46.476
0.895,-45.741
0.896,-45.004
0.897,-44.265
0.897,-43.523
0.898,-42.779
0.899,-42.033
0.900,-41.284
0.900,-40.534
0.901,-39.781
0.902,-39.026
0.903,-38.269
0.903,-37.509
0.904,-36.748
0.905,-35.985
0.906,-35.219
0.906,-34.452
0.907,-33.682
0.908,-32.910
0.909,-32.137
0.909,-31.361
0.910,-30.583
0.911,-29.804
0.912,-29.022
0.912,-28.239
0.913,-27.453
0.914,-26.666
0.915,-25.877
0.915,-25.086
0.916,-24.293
0.917,-23.498
0.918,-22.702
0.918,-21.903
0.919,-21.103
0.920,-20.302
0.921,-19.498
0.921,-18.693
0.922,-17.886
0.923,-17.077
0.924,-16.267
0.924,-15.455
0.925,-14.641
0.926,-13.826
0.927,-13.009
0.927,-12.191
0.928,-11.371
0.929,-10.550
0.930,-9.727
0.930,-8.902
0.931,-8.076
0.932,-7.249
0.933,-6.420
0.933,-5.590
0.934,-4.758
0.935,-3.925
0.936,-3.091
0.936,-2.255
0.937,-1.418
0.938,-0.579
0.939,0.261
0.939,1.102
0.940,1.944
0.941,2.788
0.942,3.632
0.942,4.478
0.943,5.326
0.944,6.174
0.945,7.024
0.945,7.874
0.946,8.726
0.947,9.579
0.948,10.433
0.948,11.288
0.949,12.144
0.950,13.001
0.951,13.859
0.951,14.718
0.952,15.578
0.953,16.439
0.954,17.301
0.954,18.163
0.955,19.027
0.956,19.892
0.957,20.757
0.957,21.623
0.958,22.490
0.959,23.358
0.960,24.227
0.960,25.096
0.961,25.966
0.962,26.837
0.963,27.708
0.963,28.581
0.964,29.453
0.965,30.327
0.966,31.201
0.966,32.076
0.967,32.951
0.968,33.827
0.969,34.703
0.969,35.580
0.970,36.457
0.971,37.335
0.972,38.214
0.972,39.092
0.973,39.972
0.974,40.851
0.975,41.731
0.975,42.612
0.976,43.492
0.977,44.373
0.978,45.255
0.978,46.136
0.979,47.018
0.980,47.901
0.981,48.783
0.981,49.666
0.982,50.548
0.983,51.431
0.984,52.315
0.984,53.198
0.985,54.081
0.986,54.965
0.987,55.848
0.987,56.732
0.988,57.616
0.989,58.499
0.990,59.383
0.990,60.267
0.991,61.150
0.992,62.034
0.993,62.917
0.993,63.801
0.994,64.684
0.995,65.567
0.996,66.450
0.996,67.333
0.997,68.216
0.998,69.098
0.999,69.980
0.999,70.862
1.000,71.744
1.001,72.625
1.002,73.506
1.003,74.387
1.003,75.267
1.004,76.147
1.005,77.027
1.006,77.906
1.006,78.785
1.007,79.663
1.008,80.541
1.009,81.418
1.009,82.295
1.010,83.171
1.011,84.047
1.012,84.922
1.012,85.797
1.013,86.671
1.014,87.544
1.015,88.417
1.015,89.289
1.016,90.161
1.017,91.031
1.018,91.901
1.018,92.771
1.019,93.639
1.020,94.507
1.021,95.374
1.021,96.240
1.022,97.105
1.023,97.970
1.024,98.833
1.024,99.696
1.025,100.558
1.026,101.419
1.027,102.279
1.027,103.138
1.028,103.995
1.029,104.852
1.030,105.708
1.030,106.563
